Disease,Symptoms,Precautions
Common Cold,Runny nose;Sneezing;Sore throat;Mild fever,Drink warm fluids;Rest well;Steam inhalation
Flu (Influenza),High fever;Body pain;Headache;Cough,Stay hydrated;Take rest;Consult doctor if severe
Malaria,High fever;Chills;Sweating;Headache,Use mosquito nets;Take prescribed medicine
Dengue,High fever;Severe headache;Joint pain;Rashes,Drink ORS;Avoid painkillers like ibuprofen;Consult doctor
Typhoid,High fever;Weakness;Abdominal pain;Constipation,Drink boiled water;Eat soft foods;Take antibiotics (doctor prescribed)
COVID-19,Fever;Cough;Loss of smell;Breathing difficulty,Isolate;Wear mask;Consult doctor
Asthma,Wheezing;Short breath;Chest tightness,Avoid allergens;Use inhaler;Keep air clean
Diabetes,Frequent urination;Thirst;Fatigue,Healthy diet;Regular exercise;Monitor sugar levels
Hypertension,Headache;Nosebleed;Fatigue,Reduce salt;Exercise daily;Regular BP check
Chickenpox,Itchy blisters;Fever;Fatigue,Avoid scratching;Stay isolated;Keep skin clean
